entity:sample_id	bam	index
HG00096	"gs://genomics-public-data/ftp-trace.ncbi.nih.gov/1000genomes/ftp/phase3/data/HG00096/exome_alignment/HG00096.chrom20.ILLUMINA.bwa.GBR.exome.20120522.bam"	"gs://genomics-public-data/ftp-trace.ncbi.nih.gov/1000genomes/ftp/phase3/data/HG00096/exome_alignment/HG00096.chrom20.ILLUMINA.bwa.GBR.exome.20120522.bam.bai"
HG00097	"gs://genomics-public-data/ftp-trace.ncbi.nih.gov/1000genomes/ftp/phase3/data/HG00097/exome_alignment/HG00097.chrom20.ILLUMINA.bwa.GBR.exome.20130415.bam"	"gs://genomics-public-data/ftp-trace.ncbi.nih.gov/1000genomes/ftp/phase3/data/HG00097/exome_alignment/HG00097.chrom20.ILLUMINA.bwa.GBR.exome.20130415.bam.bai"
HG00099	"gs://genomics-public-data/ftp-trace.ncbi.nih.gov/1000genomes/ftp/phase3/data/HG00099/exome_alignment/HG00099.chrom20.ILLUMINA.bwa.GBR.exome.20130415.bam"	"gs://genomics-public-data/ftp-trace.ncbi.nih.gov/1000genomes/ftp/phase3/data/HG00099/exome_alignment/HG00099.chrom20.ILLUMINA.bwa.GBR.exome.20130415.bam.bai"
HG00100	"gs://genomics-public-data/ftp-trace.ncbi.nih.gov/1000genomes/ftp/phase3/data/HG00100/exome_alignment/HG00100.chrom20.ILLUMINA.bwa.GBR.exome.20121211.bam"	"gs://genomics-public-data/ftp-trace.ncbi.nih.gov/1000genomes/ftp/phase3/data/HG00100/exome_alignment/HG00100.chrom20.ILLUMINA.bwa.GBR.exome.20121211.bam.bai"
HG00101	"gs://genomics-public-data/ftp-trace.ncbi.nih.gov/1000genomes/ftp/phase3/data/HG00101/exome_alignment/HG00101.chrom20.ILLUMINA.bwa.GBR.exome.20121211.bam"	"gs://genomics-public-data/ftp-trace.ncbi.nih.gov/1000genomes/ftp/phase3/data/HG00101/exome_alignment/HG00101.chrom20.ILLUMINA.bwa.GBR.exome.20121211.bam.bai"
HG00102	"gs://genomics-public-data/ftp-trace.ncbi.nih.gov/1000genomes/ftp/phase3/data/HG00102/exome_alignment/HG00102.chrom20.ILLUMINA.bwa.GBR.exome.20121211.bam"	"gs://genomics-public-data/ftp-trace.ncbi.nih.gov/1000genomes/ftp/phase3/data/HG00102/exome_alignment/HG00102.chrom20.ILLUMINA.bwa.GBR.exome.20121211.bam.bai"
HG00103	"gs://genomics-public-data/ftp-trace.ncbi.nih.gov/1000genomes/ftp/phase3/data/HG00103/exome_alignment/HG00103.chrom20.ILLUMINA.bwa.GBR.exome.20120522.bam"	"gs://genomics-public-data/ftp-trace.ncbi.nih.gov/1000genomes/ftp/phase3/data/HG00103/exome_alignment/HG00103.chrom20.ILLUMINA.bwa.GBR.exome.20120522.bam.bai"
HG00105	"gs://genomics-public-data/ftp-trace.ncbi.nih.gov/1000genomes/ftp/phase3/data/HG00105/exome_alignment/HG00105.chrom20.ILLUMINA.bwa.GBR.exome.20130415.bam"	"gs://genomics-public-data/ftp-trace.ncbi.nih.gov/1000genomes/ftp/phase3/data/HG00105/exome_alignment/HG00105.chrom20.ILLUMINA.bwa.GBR.exome.20130415.bam.bai"
HG00106	"gs://genomics-public-data/ftp-trace.ncbi.nih.gov/1000genomes/ftp/phase3/data/HG00106/exome_alignment/HG00106.chrom20.ILLUMINA.bwa.GBR.exome.20130415.bam"	"gs://genomics-public-data/ftp-trace.ncbi.nih.gov/1000genomes/ftp/phase3/data/HG00106/exome_alignment/HG00106.chrom20.ILLUMINA.bwa.GBR.exome.20130415.bam.bai"
HG00107	"gs://genomics-public-data/ftp-trace.ncbi.nih.gov/1000genomes/ftp/phase3/data/HG00107/exome_alignment/HG00107.chrom20.ILLUMINA.bwa.GBR.exome.20121211.bam"	"gs://genomics-public-data/ftp-trace.ncbi.nih.gov/1000genomes/ftp/phase3/data/HG00107/exome_alignment/HG00107.chrom20.ILLUMINA.bwa.GBR.exome.20121211.bam.bai"
